timestamp msgid roll pitch yaw
MM:SS.xxx ID deg deg deg
02:23.522 30 3.74 -2.85 -93.02
02:24.276 30 3.73 -2.85 -93.02
02:24.322 30 3.74 -2.85 -93.02
02:24.390 30 3.73 -2.89 -93.28
02:25.642 30 3.73 -2.90 -93.28
02:26.398 30 3.73 -2.90 -93.28
02:26.862 30 3.73 -2.90 -93.28
02:27.005 30 3.73 -2.90 -93.28
02:27.199 30 3.73 -2.90 -93.29
02:27.383 30 3.73 -2.90 -93.29
02:27.848 30 3.73 -2.90 -93.29
02:27.990 30 3.73 -2.90 -93.29
02:28.120 30 3.73 -2.90 -93.29
02:28.827 30 3.73 -2.90 -93.29
02:28.964 30 3.73 -2.90 -93.29
02:29.185 30 3.73 -2.90 -93.29
02:29.728 30 3.73 -2.90 -93.29
02:29.877 30 3.73 -2.90 -93.29
02:30.077 30 3.73 -2.90 -93.29
02:30.266 30 3.73 -2.90 -93.29
02:30.797 30 0.12 1.64 -77.82
02:31.093 30 2.90 6.93 -91.66
02:31.277 30 2.21 4.57 -97.88
02:31.929 30 2.57 2.21 -105.32
02:32.126 30 3.03 -1.09 -104.75
02:32.399 30 2.98 -1.48 -104.88
02:33.698 30 2.96 -1.70 -104.84
02:33.826 30 2.93 -1.93 -104.78
02:33.970 30 2.89 -2.12 -104.73
02:34.486 30 2.89 -2.21 -104.72
02:34.628 30 2.91 -2.19 -104.75
02:34.757 30 2.93 -2.08 -104.79
02:35.230 30 2.93 -1.91 -104.82
02:35.387 30 2.92 -1.71 -104.83
02:35.528 30 2.92 -1.56 -104.82
02:35.792 30 2.95 -1.44 -104.78
02:36.347 30 2.95 -1.44 -104.77
02:36.519 30 2.96 -1.48 -104.76
02:36.666 30 2.93 -1.64 -104.78
02:37.154 30 2.96 -1.71 -104.82
02:37.703 30 2.96 -1.72 -104.81
02:37.831 30 2.96 -1.73 -104.80
02:38.604 30 2.96 -1.73 -104.80
02:38.866 30 2.96 -1.73 -104.80
02:40.046 30 2.96 -1.73 -104.80
02:40.177 30 2.96 -1.73 -104.80
02:40.318 30 2.96 -1.73 -104.80
02:40.771 30 2.96 -1.73 -104.80
02:40.911 30 2.96 -1.73 -104.80
02:41.106 30 2.96 -1.73 -104.80
02:41.574 30 2.96 -1.73 -104.80
02:41.705 30 2.96 -1.73 -104.80
02:41.857 30 2.96 -1.73 -104.80
02:42.069 30 2.96 -1.73 -104.80
02:42.756 30 2.96 -1.73 -104.80
02:42.884 30 2.96 -1.73 -104.80
02:43.103 30 2.96 -1.73 -104.80
02:43.284 30 2.96 -1.73 -104.80
02:43.522 30 2.91 -1.82 -104.77
02:44.299 30 2.91 -1.83 -104.76
02:44.484 30 2.91 -1.83 -104.76
02:45.468 30 2.91 -1.83 -104.76
02:45.608 30 2.91 -1.83 -104.76
02:45.734 30 2.91 -1.83 -104.76
02:46.406 30 2.91 -1.83 -104.76
02:46.644 30 2.91 -1.83 -104.76
02:46.779 30 2.91 -1.83 -104.76
02:46.957 30 2.91 -1.83 -104.76
02:47.435 30 2.91 -1.83 -104.76
02:47.622 30 2.91 -1.83 -104.75
02:47.765 30 2.91 -1.83 -104.75
02:48.227 30 2.91 -1.83 -104.75
02:48.373 30 2.91 -1.83 -104.75
