timestamp tagid tag_x tag_y tag_z tag_roll tag_pitch tag_yaw
MM:SS.xxx ID m m m deg deg deg
01:26.549 0 4.086644 -2.489075 -2.287445 157.65 4.02 -94.63
01:26.582 0 4.087009 -2.489921 -2.287202 158.38 4.50 -94.91
01:26.615 0 4.086955 -2.488529 -2.287404 158.72 4.14 -94.88
01:26.648 0 4.086329 -2.486822 -2.288385 158.64 3.88 -94.95
01:26.681 0 4.088458 -2.483710 -2.288860 158.26 5.26 -95.01
01:26.716 0 4.089238 -2.481768 -2.291575 158.99 5.94 -95.09
01:26.748 0 4.088231 -2.479554 -2.288211 157.88 5.15 -94.59
01:26.780 0 4.088059 -2.478486 -2.290404 158.49 5.43 -94.90
01:26.815 0 4.073416 -2.430884 -2.202059 157.04 3.81 -94.36
01:26.847 0 4.089115 -2.474934 -2.291565 157.70 4.31 -94.75
01:26.881 0 4.461192 -3.224689 -2.011495 3.26 -169.41 52.27
01:26.914 0 4.461229 -3.224175 -2.013404 4.02 -169.31 52.32
01:26.948 0 4.461717 -3.223941 -2.013746 5.35 -168.96 52.47
01:26.981 0 4.452683 -3.224699 -2.113961 3.05 -168.56 51.71
01:27.015 0 4.454679 -3.225854 -2.112682 3.11 -168.79 51.67
01:27.048 0 4.456943 -3.227050 -2.109638 3.60 -169.88 51.90
01:27.080 0 4.398336 -3.215738 -2.105614 2.99 -171.80 53.53
01:27.114 0 4.398503 -3.215559 -2.107125 3.97 -171.94 53.48
01:27.148 0 55.848148 -27.033719 -2.492330 3.96 -171.93 53.48
01:27.181 0 55.847505 -27.034193 -2.492247 2.70 -171.35 53.37
01:27.214 0 55.846279 -27.032646 -2.494482 3.12 -171.34 53.23
01:27.248 0 55.844396 -27.032528 -2.494262 4.48 -171.40 53.41
01:27.281 0 55.842632 -27.033960 -2.492466 4.07 -171.78 53.49
01:27.314 0 55.839933 -27.034434 -2.493169 3.73 -171.96 53.50
01:27.348 0 55.838101 -27.033142 -2.491155 4.43 -172.11 53.65
01:27.380 0 55.839561 -27.032912 -2.391914 4.47 -171.66 53.84
01:27.414 0 55.833745 -27.030433 -2.490871 3.35 -172.37 53.60
01:27.448 0 55.832193 -27.029554 -2.491963 2.61 -171.94 53.50
01:27.481 0 55.833338 -27.027480 -2.491549 2.87 -172.18 53.43
01:27.515 0 55.838748 -27.026204 -2.392694 4.31 -172.48 53.71
01:27.547 0 55.839480 -27.028119 -2.391988 1.82 -172.24 53.88
01:27.581 0 55.839611 -27.029279 -2.394364 2.44 -170.87 53.96
01:27.615 0 55.836347 -27.031616 -2.492699 1.68 -171.39 53.50
01:27.648 0 55.837905 -27.031344 -2.491581 3.57 -173.19 53.63
01:27.681 0 55.838043 -27.032496 -2.493694 2.82 -172.94 53.48
01:27.714 0 55.837739 -27.033176 -2.494999 4.72 -172.18 53.80
01:27.748 0 55.838184 -27.036257 -2.492798 2.90 -172.09 53.60
01:27.782 0 55.839091 -27.038057 -2.494791 2.31 -171.33 53.51
01:27.815 0 55.842333 -27.037121 -2.493779 4.23 -173.02 53.46
01:27.847 0 55.844353 -27.037010 -2.492802 4.48 -173.27 53.61
01:27.881 0 55.843935 -27.036308 -2.492591 2.74 -171.34 53.55
01:27.914 0 55.843266 -27.035213 -2.493706 3.29 -170.62 53.53
01:27.948 0 55.798174 -27.033455 -2.490834 3.88 -173.58 52.73
01:27.981 0 55.799212 -27.033445 -2.491618 3.59 -173.59 52.57
01:28.016 0 55.800875 -27.034699 -2.392929 3.86 -173.39 53.05
01:28.048 0 55.798470 -27.033663 -2.491618 3.90 -173.88 52.67
01:28.082 0 55.797686 -27.033410 -2.493175 4.41 -173.03 52.82
01:28.114 0 55.797840 -27.032930 -2.495026 5.09 -172.93 52.83
01:28.147 0 55.800052 -27.035842 -2.492952 3.46 -173.66 52.69
01:28.181 0 55.802356 -27.037643 -2.493760 4.58 -173.72 52.67
01:28.215 0 58.536504 -28.096260 -2.487320 4.19 -172.83 52.62
01:28.248 0 58.550297 -28.095495 -2.386063 4.11 -173.40 53.25
01:28.281 0 58.548923 -28.095362 -2.487103 3.14 -172.58 52.88
01:28.314 0 58.551116 -28.095286 -2.485086 3.86 -172.76 53.03
01:28.347 0 58.552462 -28.094862 -2.487843 5.64 -172.77 53.21
01:28.381 0 58.553551 -28.096152 -2.486472 4.36 -171.91 53.00
01:28.415 0 58.553295 -28.095912 -2.483899 3.93 -172.00 53.15
01:28.448 0 58.552816 -28.094634 -2.487049 4.29 -172.38 53.12
01:28.481 0 58.553538 -28.094533 -2.484405 4.15 -173.40 52.94
01:28.514 0 58.551032 -28.092559 -2.484876 4.96 -172.53 53.08
01:28.547 0 58.549570 -28.091426 -2.483538 3.92 -172.07 53.15
01:28.581 0 58.548260 -28.090687 -2.486293 4.37 -172.00 53.19
01:28.614 0 58.551586 -28.092843 -2.384153 3.37 -172.44 53.42
01:28.648 0 58.548996 -28.093489 -2.484547 3.12 -173.71 52.90
01:28.680 0 58.551168 -28.097494 -2.384608 2.06 -172.94 53.35
